model,test,seed,field,n,threshold,nb_only,nn_only,nb_nn_mixed,no_nb_nn,nb_only_pct,nn_only_pct,nb_nn_mixed_pct,no_nb_nn_pct,mean_nb,mean_nn,mean_nb_minus_nn,mean_da,mean_sv,mean_other
bokmal,original,456,reference,1742,0.5,1328,299,104,11,0.7623421354764638,0.17164179104477612,0.05970149253731343,0.006314580941446613,0.8165272416246847,0.2332824244502609,0.5832448171744238,0.01656976923641718,0.005993264365612106,0.00516774315378256
bokmal,bokmal,42,prediction,1313,0.5,1298,0,11,4,0.9885757806549885,0.0,0.008377760853008377,0.0030464584920030465,0.9933698833469651,0.016425229489832084,0.976944653857133,0.007724058735547006,0.001854922895534481,0.002468354104400227
bokmal,bokmal,42,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
bokmal,bokmal,123,prediction,1313,0.5,1295,1,10,7,0.9862909367859863,0.0007616146230007616,0.007616146230007616,0.005331302361005331,0.9912971068125414,0.016794003537449163,0.9745031032750922,0.00946448945119567,0.0018467585526168748,0.0028632077961282206
bokmal,bokmal,123,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
bokmal,bokmal,456,prediction,1313,0.5,1299,0,9,5,0.9893373952779894,0.0,0.006854531607006854,0.003808073115003808,0.9929466268490299,0.015419131463366481,0.9775274953856634,0.00795839768688505,0.0018741687228988957,0.0029916281680105613
bokmal,bokmal,456,reference,1313,0.5,1308,2,2,1,0.9961919268849961,0.0015232292460015233,0.0015232292460015233,0.0007616146230007616,0.9952244196833315,0.012052049855814229,0.9831723698275173,0.00626804526405396,0.0011567812996156582,0.0017780452843370062
bokmal,flores_nob,42,prediction,1012,0.5,996,2,8,6,0.9841897233201581,0.001976284584980237,0.007905138339920948,0.005928853754940711,0.9904850375366474,0.012561258242561667,0.9779237792940857,0.009997984808801215,0.0007844882588240853,0.0008458206384854457
bokmal,flores_nob,42,reference,1012,0.5,1007,1,4,0,0.9950592885375494,0.0009881422924901185,0.003952569169960474,0.0,0.9978331201781704,0.007094928769385495,0.9907381914087849,0.0013218497429349047,0.0008334717266313919,0.0008422417731456626
bokmal,flores_nob,123,prediction,1012,0.5,988,3,9,12,0.9762845849802372,0.0029644268774703555,0.008893280632411068,0.011857707509881422,0.9851282155449528,0.014027388696409229,0.9711008268485436,0.014371235301526755,0.0008475776827746361,0.0008657846323431543
